"Month","Year","Energy.Consumption(AVG)"
"01","2011","25836"
"01","2012","10521"
"01","2013","5445"
"01","2014","3875"
"01","2015","2637"
"01","2016","2437"
"01","2017","1842"
"01","2018","1649"
"01","2019","1556"
"02","2011","2582"
"02","2012","1817"
"02","2013","1214"
"02","2014","1019"
"02","2015","872"
"02","2016","886"
"02","2017","791"
"02","2018","679"
"02","2019","719"
"03","2011","1589"
"03","2012","1095"
"03","2013","762"
"03","2014","704"
"03","2015","591"
"03","2016","552"
"03","2017","581"
"03","2018","454"
"03","2019","516"
"04","2011","906"
"04","2012","602"
"04","2013","523"
"04","2014","545"
"04","2015","447"
"04","2016","399"
"04","2017","414"
"04","2018","380"
"04","2019","378"
"05","2011","646"
"05","2012","562"
"05","2013","399"
"05","2014","423"
"05","2015","388"
"05","2016","374"
"05","2017","396"
"05","2018","357"
"05","2019","305"
"06","2011","610"
"06","2012","443"
"06","2013","389"
"06","2014","382"
"06","2015","346"
"06","2016","323"
"06","2017","361"
"06","2018","320"
"06","2019","282"
"07","2011","548"
"07","2012","440"
"07","2013","420"
"07","2014","386"
"07","2015","329"
"07","2016","300"
"07","2017","303"
"07","2018","321"
"07","2019","292"
"08","2010","501"
"08","2011","471"
"08","2012","413"
"08","2013","322"
"08","2014","281"
"08","2015","263"
"08","2016","257"
"08","2017","237"
"08","2018","263"
"08","2019","239"
"09","2010","401"
"09","2011","381"
"09","2012","339"
"09","2013","239"
"09","2014","257"
"09","2015","210"
"09","2016","228"
"09","2017","193"
"09","2018","204"
"09","2019","202"
"10","2010","346"
"10","2011","314"
"10","2012","276"
"10","2013","232"
"10","2014","255"
"10","2015","192"
"10","2016","187"
"10","2017","189"
"10","2018","183"
"10","2019","167"
"11","2010","285"
"11","2011","242"
"11","2012","190"
"11","2013","170"
"11","2014","202"
"11","2015","172"
"11","2016","145"
"11","2017","150"
"11","2018","156"
"11","2019","150"
"12","2010","238"
"12","2011","170"
"12","2012","150"
"12","2013","141"
"12","2014","137"
"12","2015","143"
"12","2016","134"
"12","2017","117"
"12","2018","132"
